iter	RMSE
0	2650.966958
1	2616.754075
2	2584.373455
3	2549.378511
4	2518.651747
5	2492.898838
6	2464.201076
7	2442.144546
8	2416.815787
9	2393.774867
10	2367.133294
11	2339.413955
12	2313.077809
13	2294.809051
14	2269.90308
15	2247.894209
16	2229.920776
17	2204.932695
18	2187.722911
19	2168.015617
20	2148.329862
21	2131.153672
22	2109.182517
23	2091.999641
24	2073.933813
25	2058.354259
26	2044.241454
27	2025.358314
28	2005.411136
29	1984.361087
30	1962.161037
31	1947.119156
32	1931.692411
33	1913.917959
34	1896.637719
35	1877.823063
36	1865.399163
37	1852.285872
38	1840.48079
39	1828.572751
40	1818.046125
41	1806.84319
42	1794.901507
43	1784.408726
44	1771.220654
45	1759.939644
46	1749.72077
47	1739.838652
48	1726.56144
49	1712.935547
50	1702.554372
51	1692.340317
52	1679.786448
53	1666.182426
54	1654.392183
55	1640.1304
56	1631.069476
57	1620.330081
58	1611.052569
59	1600.095091
60	1590.482721
61	1581.166972
62	1569.759977
63	1561.771328
64	1554.893374
65	1546.898758
66	1535.936799
67	1526.586289
68	1516.472551
69	1510.148895
70	1501.87576
71	1492.522208
72	1484.002266
73	1475.856744
74	1464.064091
75	1452.18593
76	1443.167974
77	1436.461639
78	1427.303708
79	1417.318801
80	1410.233954
81	1402.575703
82	1395.545647
83	1386.143402
84	1378.635272
85	1371.557089
86	1363.843156
87	1357.089694
88	1348.36975
89	1341.95243
90	1333.811469
91	1323.782015
92	1318.342001
93	1311.446772
94	1306.100579
95	1298.513091
96	1292.289037
97	1284.735146
98	1279.951623
99	1275.357967
100	1268.650316
101	1259.845699
102	1253.944313
103	1246.642859
104	1241.991022
105	1237.088503
106	1231.326584
107	1226.991531
108	1222.43884
109	1216.547538
110	1208.63855
111	1201.313609
112	1196.31221
113	1192.930322
114	1190.336413
115	1185.518232
116	1179.188084
117	1173.757988
118	1166.438471
119	1160.141779
120	1155.390772
121	1150.956278
122	1146.130097
123	1142.858774
124	1136.810111
125	1134.09004
126	1127.100935
127	1120.721227
128	1115.076955
129	1111.426831
130	1107.515648
131	1103.585017
132	1097.58392
133	1093.757575
134	1089.820776
135	1084.759993
136	1080.989224
137	1077.568087
138	1071.844522
139	1068.658323
140	1063.501738
141	1060.52502
142	1055.402441
143	1051.171976
144	1048.761415
