ID,Label
0,"cation: azp-2o1,1 + anion: ntf2"
1,"cation: azp-2o1,1 + anion: otf"
2,"cation: azp-2o1,1 + anion: tfa"
3,"cation: azp-2o1,2o1 + anion: ntf2"
4,"cation: azp-4,1 + anion: ntf2"
5,"cation: azp-6,1 + anion: ntf2"
6,"cation: azp-[2o]21,1 + anion: ntf2"
7,"cation: azp-[2o]21,1 + anion: otf"
8,"cation: azp-[2o]21,1 + anion: tfa"
9,"cation: azp-[2o]21,[2o]21 + anion: ntf2"
10,"cation: bim-4,2 + anion: h2po4"
11,"cation: bthz-s2[2] + anion: po2-o2,o2"
12,"cation: cap-1,o2 + anion: ntf2"
13,"cation: cap-1,o2 + anion: otf"
14,"cation: cguad-(2,1),1,1 + anion: ntf2"
15,"cation: cguad-(2,2),1,1 + anion: ntf2"
16,"cation: cguad-(3,1),1,1 + anion: ntf2"
17,"cation: cprop-(n-10,10),(n-10,10),(n-10,10) + anion: dca"
18,"cation: cprop-(n-10,10),(n-10,10),(n-10,10) + anion: ntf2"
19,"cation: cprop-(n-2,1),(n-1,1),(n-1,1) + anion: ntf2"
20,"cation: cprop-(n-2,1),(n-2,1),(n-2,1) + anion: ntf2"
21,"cation: cprop-(n-2,2),(n-1,1),(n-1,1) + anion: ntf2"
22,"cation: cprop-(n-2,2),(n-2,2),(n-1,1) + anion: dca"
23,"cation: cprop-(n-2,2),(n-2,2),(n-1,1) + anion: ntf2"
24,"cation: cprop-(n-2,2),(n-2,2),(n-2,2) + anion: dca"
25,"cation: cprop-(n-2,2),(n-2,2),(n-2,2) + anion: ntf2"
26,"cation: cprop-(n-3,1),(n-1,1),(n-1,1) + anion: dca"
27,"cation: cprop-(n-3,1),(n-1,1),(n-1,1) + anion: ntf2"
28,"cation: cprop-(n-3,3),(n-1,1),(n-1,1) + anion: ntf2"
29,"cation: cprop-(n-3,3),(n-3,3),(n-3,3) + anion: dca"
30,"cation: cprop-(n-3,3),(n-3,3),(n-3,3) + anion: ntf2"
31,"cation: cprop-(n-4,1),(n-1,1),(n-1,1) + anion: dca"
32,"cation: cprop-(n-4,1),(n-1,1),(n-1,1) + anion: ntf2"
33,"cation: cprop-(n-4,1),(n-2,2),(n-2,2) + anion: dca"
34,"cation: cprop-(n-4,1),(n-2,2),(n-2,2) + anion: ntf2"
35,"cation: cprop-(n-4,1),(n-4,1),(n-4,1) + anion: dca"
36,"cation: cprop-(n-4,1),(n-4,1),(n-4,1) + anion: ntf2"
37,"cation: cprop-(n-4,4),(n-1,1),(n-1,1) + anion: ntf2"
38,"cation: cprop-(n-4,4),(n-2,2),(n-2,2) + anion: dca"
39,"cation: cprop-(n-4,4),(n-2,2),(n-2,2) + anion: ntf2"
40,"cation: cprop-(n-4,4),(n-4,4),(n-4,4) + anion: dca"
41,"cation: cprop-(n-4,4),(n-4,4),(n-4,4) + anion: ntf2"
42,"cation: cprop-(n-5,5),(n-5,5),(n-5,5) + anion: dca"
43,"cation: cprop-(n-5,5),(n-5,5),(n-5,5) + anion: ntf2"
44,"cation: cprop-(n-6,1),(n-1,1),(n-1,1) + anion: ntf2"
45,"cation: cprop-(n-6,1),(n-2,2),(n-2,2) + anion: dca"
46,"cation: cprop-(n-6,1),(n-2,2),(n-2,2) + anion: ntf2"
47,"cation: cprop-(n-6,6),(n-1,1),(n-1,1) + anion: ntf2"
48,"cation: cprop-(n-6,6),(n-2,2),(n-2,2) + anion: dca"
49,"cation: cprop-(n-6,6),(n-2,2),(n-2,2) + anion: ntf2"
50,"cation: cprop-(n-6,6),(n-6,6),(n-6,6) + anion: dca"
51,"cation: cprop-(n-6,6),(n-6,6),(n-6,6) + anion: ntf2"
52,cation: dabco-6 + anion: ntf2
53,cation: dbu-10 + anion: dca
54,cation: dbu-10 + anion: scn
55,cation: dbu-14 + anion: dca
56,cation: dbu-2 + anion: dca
57,cation: dbu-4 + anion: dca
58,cation: dbu-4 + anion: imidazolide
59,cation: dbu-6 + anion: dca
60,cation: dbu-6 + anion: scn
61,cation: dbu-8 + anion: dca
62,cation: dbu-8 + anion: scn
63,cation: dbu + anion: ac
64,cation: dbu + anion: imidazolide
65,cation: dbu + anion: otf
66,cation: dbu + anion: so3-1
67,cation: dbu + anion: tfa
68,cation: epslac + anion: 4ac
69,cation: epslac + anion: ac
70,cation: epslac + anion: bf4
71,cation: epslac + anion: for
72,cation: epslac + anion: tfa
73,"cation: guad-(1,1),(1,1),(1,1) + anion: la"
74,"cation: guad-(1,1),(1,1),2 + anion: ntf2"
75,"cation: guad-(1,1),(1,1),2 + anion: so4-2"
76,"cation: guad-(1,1),(1,1) + anion: imidazolide"
77,"cation: guad-(1,1),(1,1) + anion: phen"
78,"cation: guad-(1,1),(1,1) + anion: tfe"
79,"cation: guad-(2,1),(1,1),(1,1) + anion: ntf2"
80,"cation: guad-(2,2),(1,1),(1,1) + anion: ntf2"
81,"cation: guad-(2,2),(1,1),(1,1) + anion: so4-2"
82,"cation: guad-(2o1,2o1),(1,1),(1,1) + anion: ntf2"
83,"cation: guad-(2o2,2o1),(1,1),(1,1) + anion: ntf2"
84,"cation: guad-(3,1),(1,1),(1,1) + anion: ntf2"
85,"cation: guad-(3,2),(1,1),(1,1) + anion: ntf2"
86,"cation: guad-(3,3),(1,1),(1,1) + anion: ntf2"
87,"cation: guad-(4,1),(1,1),(1,1) + anion: ntf2"
88,"cation: guad-(4,2),(1,1),(1,1) + anion: ntf2"
89,"cation: guad-(4,3),(1,1),(1,1) + anion: ntf2"
90,"cation: guad-(4,4),(1,1),(1,1) + anion: ntf2"
91,"cation: guad-(6,6),(1,1),(1,1) + anion: ccn3"
92,"cation: guad-(6,6),(6,6),(1,1) + anion: dca"
93,"cation: guad-(6,6),(6,6),(1,1) + anion: ntf2"
94,"cation: guad-(6,6),(6,6),(1,1) + anion: otf"
95,"cation: guad-(6,6),(6,6),(1,1) + anion: sac"
96,"cation: guad-(6,6),(6,6),(1,1) + anion: so3-ph1"
97,"cation: guad-(6,6),(6,6),(1,1) + anion: tfa"
98,"cation: im-1(1[f]),1 + anion: ntf2"
99,"cation: im-1(chbr,ch2br),(chbr,ch2br) + anion: ntf2"
100,"cation: im-1(chbr,ch2br),1(chbr,ch2br) + anion: ntf2"
101,"cation: im-1(chbr,ch2br),1,br[4],br[5] + anion: ntf2"
102,"cation: im-1(chbr,ch2br),1 + anion: ntf2"
103,"cation: im-1,1,1o2 + anion: ntf2"
104,"cation: im-1,1,1o3 + anion: ntf2"
105,"cation: im-1,1[2] + anion: ntf2"
106,"cation: im-1,1 + anion: bf3-1[f]"
107,"cation: im-1,1 + anion: bf3-2[f]"
108,"cation: im-1,1 + anion: bf3-3[f]"
109,"cation: im-1,1 + anion: dca"
110,"cation: im-1,1 + anion: ntf2"
111,"cation: im-1,1 + anion: po2-o1,o1"
112,"cation: im-1,1 + anion: so4-1"
113,"cation: im-1,s2[2] + anion: ntf2"
114,"cation: im-1,s2[2] + anion: otf"
115,"cation: im-1,s2[2] + anion: pf6"
116,"cation: im-1,s4[2] + anion: ntf2"
117,"cation: im-1,s4[2] + anion: otf"
118,"cation: im-1,s4[2] + anion: po2-o4,o4"
119,"cation: im-10,1,1 + anion: ntf2"
120,"cation: im-10,10 + anion: ac"
121,"cation: im-10,10 + anion: no3"
122,"cation: im-10,10 + anion: ntf2"
123,"cation: im-10,10 + anion: po2-o8i,o8i"
124,"cation: im-10,1 + anion: al(ohfip)4"
125,"cation: im-10,1 + anion: bf4"
126,"cation: im-10,1 + anion: cl"
127,"cation: im-10,1 + anion: dca"
128,"cation: im-10,1 + anion: fpi"
129,"cation: im-10,1 + anion: npf2"
130,"cation: im-10,1 + anion: ntf2"
131,"cation: im-10,1 + anion: otf"
132,"cation: im-10,1 + anion: phen"
133,"cation: im-10,1 + anion: sac"
134,"cation: im-10,1 + anion: scn"
135,"cation: im-10,1 + anion: so3-4[f]"
136,"cation: im-10,1 + anion: tcb"
137,"cation: im-11,1 + anion: ntf2"
138,"cation: im-12,12 + anion: ntf2"
139,"cation: im-12,1 + anion: ntf2"
140,"cation: im-12,1 + anion: so3-4[f]"
141,"cation: im-14,1 + anion: ntf2"
142,"cation: im-16,1 + anion: ntf2"
143,"cation: im-18,1 + anion: fpi"
144,cation: im-1 + anion: ac
145,cation: im-1 + anion: hso4
146,cation: im-1 + anion: npf2
147,cation: im-1 + anion: ntf2
148,"cation: im-1cch,1 + anion: bf3-3icn"
149,"cation: im-1cch,1 + anion: ntf2"
150,"cation: im-1cch,1cch + anion: bf3-3icn"
151,"cation: im-1ch,1 + anion: ntf2"
152,"cation: im-1cn,1 + anion: ntf2"
153,"cation: im-1conh4,2 + anion: ntf2"
154,"cation: im-1coo2,1 + anion: ntf2"
155,"cation: im-1coo2,1 + anion: scn"
156,"cation: im-1cooh,1 + anion: bf4"
157,"cation: im-1cooh,1 + anion: pf6"
158,"cation: im-1cp,1 + anion: ntf2"
159,"cation: im-1dmsodmsph,1 + anion: ntf2"
160,"cation: im-1dmsodphs1,1 + anion: ntf2"
161,"cation: im-1dmsotms,1 + anion: ntf2"
162,"cation: im-1dmsph,1 + anion: ntf2"
163,"cation: im-1o1,1,1 + anion: ntf2"
164,"cation: im-1o1,1,2 + anion: ntf2"
165,"cation: im-1o1,1 + anion: bf3-1[f]"
166,"cation: im-1o1,1 + anion: bf3-2[f]"
167,"cation: im-1o1,1 + anion: ntf2"
168,"cation: im-1o1,2,2 + anion: ntf2"
169,"cation: im-1o1,2 + anion: ntf2"
170,"cation: im-1o1,3,1 + anion: ntf2"
171,"cation: im-1o1,3,2 + anion: ntf2"
172,"cation: im-1o1,3 + anion: ntf2"
173,"cation: im-1o1,4,1 + anion: ntf2"
174,"cation: im-1o1,4,2 + anion: ntf2"
175,"cation: im-1o1,4 + anion: ntf2"
176,"cation: im-1o2,1 + anion: ntf2"
177,"cation: im-1o2,2 + anion: ntf2"
178,"cation: im-1o2,3 + anion: ntf2"
179,"cation: im-1o2,4 + anion: ntf2"
180,"cation: im-1o3,1o3 + anion: bf4"
181,"cation: im-1o3,1o3 + anion: ntf2"
182,"cation: im-1o4,1o4 + anion: bf4"
183,"cation: im-1o4,1o4 + anion: ntf2"
184,"cation: im-1o5,1o5 + anion: bf4"
185,"cation: im-1o5,1o5 + anion: ntf2"
186,"cation: im-1o6,1o6 + anion: ntf2"
187,"cation: im-1o7,1o7 + anion: ntf2"
188,"cation: im-1o8,1o8 + anion: ntf2"
189,"cation: im-1ph,1[2] + anion: npf2"
190,"cation: im-1ph,1[2] + anion: ntf2"
191,"cation: im-1ph,1 + anion: alcl4"
192,"cation: im-1ph,1 + anion: cl"
193,"cation: im-1ph,1 + anion: dca"
194,"cation: im-1ph,1 + anion: ntf2"
195,"cation: im-1ph,1 + anion: sac"
196,"cation: im-1ph,1 + anion: so4-1"
197,"cation: im-1ph,1ph + anion: dca"
198,"cation: im-1ph,1ph + anion: scn"
199,"cation: im-1tms,1,1 + anion: ntf2"
200,"cation: im-1tms,1,1o4 + anion: ntf2"
201,"cation: im-1tms,1 + anion: ntf2"
202,"cation: im-2(2[f]),1 + anion: ntf2"
203,"cation: im-2(4[f]),1 + anion: ntf2"
204,"cation: im-2(6[f]),1 + anion: ntf2"
205,"cation: im-2(cfbr,cf2br),1(chbr,ch2br) + anion: ntf2"
206,"cation: im-2(cfbr,cf2br),1 + anion: ntf2"
207,"cation: im-2,1,1[5] + anion: ntf2"
208,"cation: im-2,1,1[5] + anion: otf"
209,"cation: im-2,1,1 + anion: al(ohfip)4"
210,"cation: im-2,1,1 + anion: h2po4"
211,"cation: im-2,1,1 + anion: hso4"
212,"cation: im-2,1,1 + anion: ntf2"
213,"cation: im-2,1,1 + anion: ph-coo[1],oh[2]"
214,"cation: im-2,1,1o2 + anion: ntf2"
215,"cation: im-2,1,1o3 + anion: ntf2"
216,"cation: im-2,1,s1 + anion: ntf2"
217,"cation: im-2,1,s3 + anion: ntf2"
218,"cation: im-2,1,s3i + anion: ntf2"
219,"cation: im-2,1,s8 + anion: ntf2"
220,"cation: im-2,1D + anion: fap"
221,"cation: im-2,1D + anion: so4-1D"
222,"cation: im-2,1D + anion: tcb"
223,"cation: im-2,1[2] + anion: bf4"
224,"cation: im-2,1[2] + anion: npf2"
225,"cation: im-2,1[2] + anion: ntf2"
226,"cation: im-2,1 + anion: ac"
227,"cation: im-2,1 + anion: al(ohfip)4"
228,"cation: im-2,1 + anion: al2cl7"
229,"cation: im-2,1 + anion: ala"
230,"cation: im-2,1 + anion: alcl4"
231,"cation: im-2,1 + anion: bcn3-1[f]"
232,"cation: im-2,1 + anion: bcn3-2[f]"
233,"cation: im-2,1 + anion: bf2cn-1[f]"
234,"cation: im-2,1 + anion: bf2cn-2[f]"
235,"cation: im-2,1 + anion: bf2cn-3[f]"
236,"cation: im-2,1 + anion: bf2cn-4[f]"
237,"cation: im-2,1 + anion: bf2cn2"
238,"cation: im-2,1 + anion: bf2ox"
239,"cation: im-2,1 + anion: bf3-1"
240,"cation: im-2,1 + anion: bf3-1[f]"
241,"cation: im-2,1 + anion: bf3-2"
242,"cation: im-2,1 + anion: bf3-2[f]"
243,"cation: im-2,1 + anion: bf3-2[f]o1[f]"
244,"cation: im-2,1 + anion: bf3-3"
245,"cation: im-2,1 + anion: bf3-3[f]"
246,"cation: im-2,1 + anion: bf3-4"
247,"cation: im-2,1 + anion: bf3-4[f]"
248,"cation: im-2,1 + anion: bf3-5"
249,"cation: im-2,1 + anion: bf3-v"
250,"cation: im-2,1 + anion: bf3cn"
251,"cation: im-2,1 + anion: bf4"
252,"cation: im-2,1 + anion: bfcn2-1[f]"
253,"cation: im-2,1 + anion: bfcn2-2[f]"
254,"cation: im-2,1 + anion: bfcn3"
255,"cation: im-2,1 + anion: c1c2"
256,"cation: im-2,1 + anion: ccn3"
257,"cation: im-2,1 + anion: cl"
258,"cation: im-2,1 + anion: conco4"
259,"cation: im-2,1 + anion: coscn4"
260,"cation: im-2,1 + anion: dca"
261,"cation: im-2,1 + anion: fap"
262,"cation: im-2,1 + anion: fecl4"
263,"cation: im-2,1 + anion: fpi"
264,"cation: im-2,1 + anion: fsa"
265,"cation: im-2,1 + anion: fso3"
266,"cation: im-2,1 + anion: gacl4"
267,"cation: im-2,1 + anion: gly"
268,"cation: im-2,1 + anion: hso4"
269,"cation: im-2,1 + anion: im41"
270,"cation: im-2,1 + anion: imidazolide"
271,"cation: im-2,1 + anion: moof5"
272,"cation: im-2,1 + anion: nbf6"
273,"cation: im-2,1 + anion: nms2"
274,"cation: im-2,1 + anion: npf2"
275,"cation: im-2,1 + anion: npfso2f"
276,"cation: im-2,1 + anion: ntf2"
277,"cation: im-2,1 + anion: otf"
278,"cation: im-2,1 + anion: pf6"
279,"cation: im-2,1 + anion: ph-coo[1],oh[2]"
280,"cation: im-2,1 + anion: phen"
281,"cation: im-2,1 + anion: po2-1,o1"
282,"cation: im-2,1 + anion: po2-o1,o1"
283,"cation: im-2,1 + anion: po2-o2,o2"
284,"cation: im-2,1 + anion: pro"
285,"cation: im-2,1 + anion: sbf6"
286,"cation: im-2,1 + anion: scn"
287,"cation: im-2,1 + anion: ser"
288,"cation: im-2,1 + anion: so3-1"
289,"cation: im-2,1 + anion: so3-2[f]"
290,"cation: im-2,1 + anion: so3-4[f]"
291,"cation: im-2,1 + anion: so4-1,3[f],chf2"
292,"cation: im-2,1 + anion: so4-1"
293,"cation: im-2,1 + anion: so4-2"
294,"cation: im-2,1 + anion: so4-4"
295,"cation: im-2,1 + anion: so4-6"
296,"cation: im-2,1 + anion: so4-8"
297,"cation: im-2,1 + anion: taf6"
298,"cation: im-2,1 + anion: tau"
299,"cation: im-2,1 + anion: tca-1"
300,"cation: im-2,1 + anion: tca-1cn"
301,"cation: im-2,1 + anion: tca-o1"
302,"cation: im-2,1 + anion: tca"
303,"cation: im-2,1 + anion: tcb"
304,"cation: im-2,1 + anion: tetrazolide"
305,"cation: im-2,1 + anion: tfa-2[f]"
306,"cation: im-2,1 + anion: tfa-3[f]"
307,"cation: im-2,1 + anion: tfa"
308,"cation: im-2,1 + anion: tfes"
309,"cation: im-2,1 + anion: tfesi"
310,"cation: im-2,1 + anion: triazolide"
311,"cation: im-2,1 + anion: tsac"
312,"cation: im-2,1 + anion: wf7"
313,"cation: im-2,1 + anion: wof5"
314,"cation: im-2,1o2,1 + anion: ntf2"
315,"cation: im-2,2,1[5] + anion: ntf2"
316,"cation: im-2,2,1 + anion: ntf2"
317,"cation: im-2,2,1o2 + anion: ntf2"
318,"cation: im-2,2,1o3 + anion: ntf2"
319,"cation: im-2,2 + anion: ntf2"
320,"cation: im-2,2 + anion: otf"
321,"cation: im-2,2 + anion: po2-o2,o2"
322,"cation: im-2,2 + anion: so3-ph1"
323,"cation: im-2,2 + anion: tfa"
324,"cation: im-2D,1D + anion: fap"
325,"cation: im-2D,1D + anion: so4-1D"
326,"cation: im-2D,1 + anion: fap"
327,cation: im-2 + anion: ac
328,cation: im-2 + anion: bf4
329,cation: im-2 + anion: clo4
330,cation: im-2 + anion: npf2
331,cation: im-2 + anion: ntf2
332,cation: im-2 + anion: otf
333,cation: im-2 + anion: pf6
334,cation: im-2 + anion: so3-1
335,"cation: im-2ch,1 + anion: ntf2"
336,"cation: im-2cl,1 + anion: dca"
337,"cation: im-2cn,10 + anion: behss"
338,"cation: im-2cn,10 + anion: br"
339,"cation: im-2cn,10 + anion: sba"
340,"cation: im-2cn,10 + anion: so4-12"
341,"cation: im-2cn,1 + anion: bf4"
342,"cation: im-2cn,1ph + anion: cl"
343,"cation: im-2cn,2o2 + anion: dca"
344,"cation: im-2cn,2o2 + anion: ntf2"
345,"cation: im-2cn,2o2 + anion: tfa"
346,"cation: im-2cn,2oh + anion: cl"
347,"cation: im-2cn,4 + anion: behss"
348,"cation: im-2cn,4 + anion: br"
349,"cation: im-2cn,4 + anion: bs"
350,"cation: im-2cn,4 + anion: cl"
351,"cation: im-2cn,4 + anion: otf"
352,"cation: im-2cn,4 + anion: so4-12"
353,"cation: im-2cn,6 + anion: behss"
354,"cation: im-2cn,6 + anion: br"
355,"cation: im-2cn,6 + anion: bs"
356,"cation: im-2cn,6 + anion: cl"
357,"cation: im-2cn,6 + anion: otf"
358,"cation: im-2cn,6 + anion: sba"
359,"cation: im-2cn,6 + anion: so4-12"
360,"cation: im-2cn,8 + anion: br"
361,"cation: im-2cn,8 + anion: cl"
362,"cation: im-2cn,a + anion: cl"
363,cation: im-2cn + anion: 1ac
364,cation: im-2cn + anion: 2ac
365,cation: im-2cn + anion: 4ac
366,cation: im-2cn + anion: ac
367,cation: im-2cn + anion: for
368,cation: im-2cn + anion: hso4
369,cation: im-2cn + anion: so3-ph1
370,"cation: im-2cp,1 + anion: ntf2"
371,"cation: im-2dp,4 + anion: bf4"
372,"cation: im-2dp,4 + anion: pf6"
373,"cation: im-2dp,6 + anion: bf4"
374,"cation: im-2dp,6 + anion: pf6"
375,"cation: im-2dp,8 + anion: bf4"
376,"cation: im-2dp,8 + anion: pf6"
377,"cation: im-2nh2,1 + anion: bf4"
378,"cation: im-2nh2,1 + anion: dca"
379,"cation: im-2nh2,1 + anion: ntf2"
380,"cation: im-2nh2,1 + anion: otf"
381,"cation: im-2nh2,1 + anion: pf6"
382,"cation: im-2o1,1,1 + anion: ntf2"
383,"cation: im-2o1,1,1o2 + anion: ntf2"
384,"cation: im-2o1,1,1o3 + anion: ntf2"
385,"cation: im-2o1,1,2 + anion: ntf2"
386,"cation: im-2o1,1 + anion: bf3-1[f]"
387,"cation: im-2o1,1 + anion: bf3-2[f]"
388,"cation: im-2o1,1 + anion: bf4"
389,"cation: im-2o1,1 + anion: ntf2"
390,"cation: im-2o1,1 + anion: otf"
391,"cation: im-2o1,1 + anion: pf6"
392,"cation: im-2o1,1 + anion: po2-o1,o1"
393,"cation: im-2o1,1 + anion: so3-1"
394,"cation: im-2o1,1o1,1 + anion: ntf2"
395,"cation: im-2o1,1o1,2 + anion: ntf2"
396,"cation: im-2o1,1o1 + anion: ntf2"
397,"cation: im-2o1,1o2 + anion: ntf2"
398,"cation: im-2o1,2,1 + anion: ntf2"
399,"cation: im-2o1,2,1o2 + anion: ntf2"
400,"cation: im-2o1,2,1o3 + anion: ntf2"
401,"cation: im-2o1,2,2 + anion: ntf2"
402,"cation: im-2o1,2 + anion: ntf2"
403,"cation: im-2o1,2o1,2 + anion: ntf2"
404,"cation: im-2o1,2o1 + anion: ntf2"
405,"cation: im-2o1,3,1 + anion: ntf2"
406,"cation: im-2o1,3,2 + anion: ntf2"
407,"cation: im-2o1,3 + anion: ntf2"
408,"cation: im-2o1,4,1 + anion: ntf2"
409,"cation: im-2o1,4,2 + anion: ntf2"
410,"cation: im-2o1,4 + anion: ntf2"
411,"cation: im-2o1,5,1 + anion: ntf2"
412,"cation: im-2o1,5,2 + anion: ntf2"
413,"cation: im-2o2,1,1 + anion: ntf2"
414,"cation: im-2o2,1,1o2 + anion: ntf2"
415,"cation: im-2o2,1,1o3 + anion: ntf2"
416,"cation: im-2o2,1,2 + anion: ntf2"
417,"cation: im-2o2,1 + anion: cl"
418,"cation: im-2o2,1 + anion: ntf2"
419,"cation: im-2o2,1o1,1 + anion: ntf2"
420,"cation: im-2o2,1o1,2 + anion: ntf2"
421,"cation: im-2o2,1o1 + anion: ntf2"
422,"cation: im-2o2,1o2 + anion: ntf2"
423,"cation: im-2o2,2,1 + anion: ntf2"
424,"cation: im-2o2,2,1o2 + anion: ntf2"
425,"cation: im-2o2,2,1o3 + anion: ntf2"
426,"cation: im-2o2,2,2 + anion: ntf2"
427,"cation: im-2o2,2 + anion: ntf2"
428,"cation: im-2o2,2o1,1 + anion: ntf2"
429,"cation: im-2o2,2o1,2 + anion: ntf2"
430,"cation: im-2o2,2o1 + anion: ntf2"
431,"cation: im-2o2,2o2,1 + anion: ntf2"
432,"cation: im-2o2,2o2,2 + anion: ntf2"
433,"cation: im-2o2,2o2 + anion: ntf2"
434,"cation: im-2o2,3,1 + anion: ntf2"
435,"cation: im-2o2,3,2 + anion: ntf2"
436,"cation: im-2o2,3 + anion: ntf2"
437,"cation: im-2o2,4,1 + anion: ntf2"
438,"cation: im-2o2,4,2 + anion: ntf2"
439,"cation: im-2o2,4 + anion: ntf2"
440,"cation: im-2o2,5,1 + anion: ntf2"
