IL ID,Cation,Anion,a,b,R^2
1,"azp-2o1,1",ntf2,-0.8812991316918174,0.0037133553799773345,0.9928649355590388
2,"azp-2o1,1",otf,-0.8882307080157692,0.00341744870428707,0.999010797163617
3,"azp-2o1,1",tfa,-1.0249505642163,0.003925807826370819,0.9996266748916192
4,"azp-2o1,2o1",ntf2,-1.003296023055404,0.004140935658804455,0.9990847943578318
5,"azp-4,1",ntf2,-0.9630614039497187,0.0038274546066007346,0.9996071664741293
6,"azp-6,1",ntf2,-0.9760135849472878,0.003842033540455991,0.9997876802852179
7,"azp-[2o]21,1",ntf2,-0.8971492843556318,0.003790999313886887,0.9974775116982235
8,"azp-[2o]21,1",otf,-0.9177336786099222,0.0035995172335821133,0.9998666363241429
9,"azp-[2o]21,1",tfa,-1.0003154039470852,0.003889713048351313,0.9994619273786911
10,"azp-[2o]21,[2o]21",ntf2,-0.9964225375139744,0.0040183603218817854,0.9997657083515639
11,"bim-4,2",h2po4,-0.7588169639436216,0.002849471884147423,0.9997969430037777
15,"cguad-(2,1),1,1",ntf2,-0.7868442747017107,0.0037102923586085847,0.9982693189048253
16,"cguad-(2,2),1,1",ntf2,-0.7904166631106602,0.003725050143494431,0.999019156724778
17,"cguad-(3,1),1,1",ntf2,-0.8264462622362024,0.0037951711265349036,0.9992642968938205
18,"cprop-(n-10,10),(n-10,10),(n-10,10)",dca,-0.9142989492606429,0.0036205048096455343,0.9994067882009751
19,"cprop-(n-10,10),(n-10,10),(n-10,10)",ntf2,-0.8555952731052704,0.003471374445341716,0.9995675589901811
20,"cprop-(n-2,1),(n-1,1),(n-1,1)",ntf2,-0.7044878922545462,0.003386418317997942,0.9992426276452653
21,"cprop-(n-2,1),(n-2,1),(n-2,1)",ntf2,-0.853109836944812,0.003860031143717909,0.9998614818425929
22,"cprop-(n-2,2),(n-1,1),(n-1,1)",ntf2,-0.8459491464646869,0.0037961542501370737,0.9998180429263601
23,"cprop-(n-2,2),(n-2,2),(n-1,1)",dca,-0.8684186082757015,0.003983586084529577,0.9990770445669755
24,"cprop-(n-2,2),(n-2,2),(n-1,1)",ntf2,-0.8569730558943958,0.003832495453505326,0.9998658130165652
25,"cprop-(n-2,2),(n-2,2),(n-2,2)",dca,-0.8369706058698685,0.0038441305464417827,0.9992447356006902
26,"cprop-(n-2,2),(n-2,2),(n-2,2)",ntf2,-0.843453260402388,0.003750656701091297,0.9996376013386664
27,"cprop-(n-3,1),(n-1,1),(n-1,1)",dca,-0.9714027855535363,0.004172226914043203,0.9976230373045514
28,"cprop-(n-3,1),(n-1,1),(n-1,1)",ntf2,-0.9111716850915724,0.004063970396443424,0.998763981454814
29,"cprop-(n-3,3),(n-1,1),(n-1,1)",ntf2,-0.917494345069667,0.003973597318988678,0.9991853745048956
30,"cprop-(n-3,3),(n-3,3),(n-3,3)",dca,-1.168927335711217,0.004856996561537961,0.9996635424595691
31,"cprop-(n-3,3),(n-3,3),(n-3,3)",ntf2,-0.9488839133466186,0.0039028158350787865,0.9994212749325413
32,"cprop-(n-4,1),(n-1,1),(n-1,1)",dca,-1.034768801296287,0.00451155348613511,0.9987057322675919
33,"cprop-(n-4,1),(n-1,1),(n-1,1)",ntf2,-0.8792542755584813,0.003941294274993206,0.9988226150172369
