IL ID,Cation,Anion,a,b,R^2
1966,"turea-4,(2,0),(2,0)",ntf2,-0.783644044819047,0.0034988407943003343,1.0
1970,turea-6,ntf2,-0.9819718510776878,0.003888606861254995,1.0
1433,"p-4,4,4,4",ala,1.5155898478792171,-0.004498930243470346,1.0
1446,"p-4,4,4,4","po2-o8i,o8i",-0.738683126996125,0.00293667259479956,1.0
1397,"p-3nh2,4,4,4",asp,-0.6795325202531372,0.0024023502658066893,1.0
1398,"p-3nh2,4,4,4",cys,-0.7465950075659117,0.002535092206164726,1.0
1396,"p-3nh2,4,4,4",asn,-0.7609207377597992,0.0026463673272194496,1.0
1502,"p-8,8,8,8","po2-o8i,o8i",-0.5633192638333623,0.0022643884211091623,1.0
1488,"p-8,4,4,4","po2-o8i,o8i",-0.7106450993320413,0.0028652933648928005,1.0
1485,"p-8,4,4,4",ntf2,0.19081741026568108,1.785502020748966e-16,1.0
1376,"p-1o2,2,2,2",triazolide123,-0.8818496468440469,0.003865322542771503,1.0
1400,"p-3nh2,4,4,4",glu,-0.677894287480263,0.0024116916111089556,1.0
1399,"p-3nh2,4,4,4",gln,-0.8814922104468573,0.003016637643730552,1.0
1221,"n-ch,4,1,1",ac-[o2]2o1,-2.0443428443486953,0.008014778470921143,1.0
1225,"n-ch,4,1,1",ac,-1.4476199445563092,0.005806117464847734,1.0
1222,"n-ch,4,1,1",ac-o1,-1.9767003356099488,0.00762376393815593,1.0
65,dbu,imidazolide,-1.4355419109624876,0.005969814646599536,1.0
1267,"n=c1-o2,1,1",ntf2,-0.8762385734840814,0.004040711851595477,1.0
1262,"n=c-o1,1,1",otf,-0.8388087988732382,0.004025361204188637,1.0
1263,"n=c-o2,1,1",ntf2,-0.8000039238647492,0.00401677765160215,1.0
1264,"n=c-o2,1,1",otf,-0.7547730839435992,0.0038506228712603895,1.0
59,dbu-4,imidazolide,-1.370073428051057,0.005517674317713494,1.0
1265,"n=c1-o1,2,2",ntf2,-0.9280221459476974,0.004062387937815652,1.0
1299,"p-14,4,4,4","po2-o8i,o8i",-1.1031203732772403,0.003973585556533852,1.0
1528,"pip-2o1,1",fap,-0.8982791293921969,0.0037087625939194553,1.0
1356,"p-14,6,6,6","po2-o8i,o8i",-0.6978736791671325,0.002746337362975059,1.0
1086,"n-3(1[f]),2,2,1",ntf2,-0.8653214134055539,0.0034155583960822477,1.0
1129,"n-4,2,2,2",ac,-1.144797514954968,0.004379472740307138,1.0
1079,n-2oh,mal,-0.6903982492965058,0.0024372628807847684,1.0
1127,"n-4,2,2,1",ntf2,-0.8617565607242305,0.003682427389645162,1.0
1191,"n-7,7,7,7",ntf2,0.15965059424652467,1.6520544236388524e-16,1.0
1188,"n-7,4,4,4",ntf2,0.1463046780369917,2.9312577644190374e-16,1.0
1187,"n-7,3i,3i,2",ntf2,0.17076050434809883,-2.366577807285893e-16,1.0
1184,"n-7,1,1,1",ntf2,0.2211019489390737,-3.077469083720178e-16,1.0
1156,n-4,for,171.72315705186426,-0.5749282357893195,1.0
1116,n-3oh,mal,-0.12765971830247205,0.0007486597580054041,1.0
1155,n-4,ac,-0.7651742608758545,0.0030726096551707935,1.0
1238,"n-ch,8,1,1",for,-2.02847656875854,0.007522444991302257,1.0
1237,"n-ch,8,1,1",ac,-2.0292874672013514,0.007473058038943532,1.0
1219,"n-ch,12,1,1",ac,-0.5200426219471508,0.0029915616363462546,1.0
1218,"n-ch,10,1,1",ac,-1.826289286075445,0.0070700473805779245,1.0
1268,"n=c1-o2,2,2",ntf2,-0.9185162171184442,0.004088573655930379,1.0
1231,"n-ch,6,1,1",ac,-2.0836849942952096,0.007829638932922493,1.0
73,epslac,tfa,0.18400202175906585,0.0006170423264891547,1.0
1230,"n-ch,6,1,1",ac-o2o1,-1.9824680676944664,0.007788790644933134,1.0
1228,"n-ch,6,1,1",ac-o1,-1.7173469497621767,0.006886877157342614,1.0
1232,"n-ch,6,1,1",for,-1.874017267473758,0.0073941177941299965,1.0
71,epslac,bf4,0.0773569981999267,0.0002594131395034431,1.0
1227,"n-ch,6,1,1",ac-[o2]2o1,-1.9665493986682716,0.00755462219728392,1.0
1170,"n-5,5,5,5",ntf2,0.1621658726061799,1.1519758328248067e-16,1.0
150,"im-1cch,1",ntf2,-0.7430992434106438,0.0035129194616349223,1.0
1196,"n-8,4,4,4",ntf2,0.14870529479877018,-2.964251224835762e-16,1.0
1261,"n=c-o1,1,1",ntf2,-0.8582055172000244,0.004095349346717331,1.0
1233,"n-ch,8,1,1",ac-[o2]2o1,-1.9727479600211877,0.007373118601330787,1.0
1234,"n-ch,8,1,1",ac-o1,-1.8490105529680676,0.0072008221019280085,1.0
1236,"n-ch,8,1,1",ac-o2o1,-1.888589927979455,0.007433165651862303,1.0
691,"im-6,1",so4-2,-0.7784191414984695,0.0031057455722001185,1.0
640,"im-5,1,1",ntf2,0.12150944594916681,0.00040747634456461055,1.0
897,"n-1dmsodmsph,1,1,1",ntf2,-0.8405936057208099,0.0035512065495670055,1.0
862,"n-1,1,1,1",oh,0.3862011023022255,0.001175382212249465,1.0
874,n-1,for,0.21371515889412962,0.000716683966781119,1.0
1656,py-3cn,ntf2,0.4531569449161846,-0.0009675948672433828,1.0
764,"im-[2o]21,1",bf4,-0.9409702656071856,0.003787681886693928,1.0
896,"n-1cooh,1,1,1",ntf2,-0.7978580341446818,0.0030198872692207665,1.0
894,"n-1coo6,1,1,1",bf4,-2.584718238157583,0.007994730674516816,1.0
895,"n-1coo6,1,1,1",dca,-2.2358207299153774,0.007227926118439277,1.0
241,"im-2,1",bf3-1[f],-1.0209352596115524,0.0046854880593379215,1.0
881,"n-1coo16,1,1,1",la,-2.109945874463276,0.006375357981159022,1.0
880,"n-1coo14,1,1,1",la,-1.970733801983937,0.006061925357053891,1.0
879,"n-1coo12,1,1,1",la,-4.576849135572523,0.013587083997204987,1.0
890,"n-1coo2,4,4,4",ntf2,-1.0803107912418322,0.004025069588325338,1.0
889,"n-1coo2,4,4,4",dca,-0.959218447898022,0.0035330740900745236,1.0
888,"n-1coo2,4,4,4",bf4,-0.9028743090125919,0.003155447342688457,1.0
243,"im-2,1",bf3-2[f],-0.7260173486660545,0.0036822884194411673,1.0
1629,"py-2,cn[3]",ntf2,-1.0274651586182597,0.0038805934597256455,1.0
930,"n-2,2,2",for,0.2531124470955925,0.0008488009627618799,1.0
931,"n-2,2,2",h2po4,-0.4128043026149219,0.002346525002433608,1.0
941,"n-2,2",ac,-0.9293212469133907,0.004567166401175464,1.0
160,"im-1dmsodmsph,1",ntf2,-0.8512491205277678,0.003591789309637736,1.0
993,"n-2o1,2,2,2",ntf2,0.2637389800289409,-1.3749768882145028e-15,1.0
161,"im-1dmsodphs1,1",ntf2,-0.9715854596004321,0.0036866900968694624,1.0
990,"n-2o1,2,2,2",bf3-2[f],0.13118011332796595,0.00043990648332651244,1.0
982,"n-2o1,2,2,1",bf3-2[f],0.14099942140644506,0.0004728350818458925,1.0
986,"n-2o1,2,2,1",bf4,0.08131059229034929,0.0002726713356483881,1.0
208,"im-2,1,1[5]",ntf2,0.3384850429756251,1.6846991058328034e-18,1.0
979,"n-2o1,2,1,1",fap,-0.8513513908106564,0.0036403739941189618,1.0
975,"n-2o1,2,1,1",bf3-2[f],0.14789095257432802,0.0004959455150044537,1.0
978,"n-2o1,2,1,1",bf4,6.827651991895761,-0.022310107563362203,1.0
1060,"n-2oh,2oh",for,0.0730356412455718,0.00024492166749018053,1.0
1584,"py-10,py[4]",ntf2,-1.036905074359893,0.004281629900810901,1.0
1800,"pyr-4,1",npf2,-0.3715467288799234,0.0018568018788733256,1.0
378,"im-2nh2,1",bf4,-0.3604880155094516,0.002116166758392487,1.0
389,"im-2o1,1",bf4,-0.6663246863908127,0.0029497953190988245,1.0
382,"im-2nh2,1",pf6,0.02358163410776653,0.0006103968166421425,1.0
392,"im-2o1,1",pf6,-0.9451912903313798,0.0038537694235353612,1.0
20,"cprop-(n-2,1),(n-1,1),(n-1,1)",ntf2,-0.7050261568927525,0.003386418306155292,1.0
1961,"turea-2,(2,0),(2,0)",ntf2,-0.865313645240038,0.003888606861254995,1.0
1798,"pyr-4,1",im41,-0.32268401149832826,0.0016126108299722001,1.0
1842,"pyrl-2,o1",ntf2,-0.837160008226267,0.0038693171095361967,1.0
1843,"pyrl-2,o1",otf,-0.9129506926399293,0.003945662841853029,1.0
1844,"pyrl-2,o2",ntf2,-0.836255230570955,0.003971699686447597,1.0
1845,"pyrl-2,o2",otf,-0.868507968231878,0.003935657567449934,1.0
449,"im-2oh,1",pf6,-0.967810375713979,0.004069026220553595,1.0
501,"im-3o1,1",pf6,-0.9451912903313798,0.0038537694235353612,1.0
500,"im-3o1,1",bf4,-0.6663246863908127,0.0029497953190988245,1.0
1790,"pyr-4,1",al(ohfip)4,-0.7114757786320253,0.0034249558090744367,1.0
1887,"pz-ph,7,1[3],1[5]",so3-1,-0.9090535341965902,0.003247836539553618,1.0
301,"im-2,1",tca-1cn,-1.0142147663175942,0.003927285241365896,1.0
300,"im-2,1",tca-1,-1.1185120844789158,0.004534942402158839,1.0
1746,"pyr-1dmsodmsph,1",ntf2,-0.7594628473448446,0.0032738679085558393,1.0
1883,"pz-ph,5,1[3],1[5]",bf4,-0.9844419749448071,0.0035452395514898394,1.0
1886,"pz-ph,6,1[3],1[5]",so3-1,-0.9670375165439289,0.0034371097370417686,1.0
1884,"pz-ph,5,1[3],1[5]",so3-1,-1.031204664128454,0.0036456180372418396,1.0
1885,"pz-ph,6,1[3],1[5]",bf4,-1.0044051945662449,0.0035850412273973177,1.0
321,"im-2,2",otf,0.303890580763573,1.3761653533822265e-17,1.0
1881,"pz-ph,1,1[3],1[5]",so3-1,-1.1752389768317244,0.004180008472889569,1.0
1882,"pz-ph,4,1[3],1[5]",so3-1,-0.9641341824064034,0.003495617047884839,1.0
