ID,Label
0,"cation: azp-2o1,1 + anion: ntf2"
1,"cation: azp-2o1,1 + anion: ntf2"
2,"cation: azp-2o1,1 + anion: ntf2"
3,"cation: azp-2o1,1 + anion: otf"
4,"cation: azp-2o1,1 + anion: otf"
5,"cation: azp-2o1,1 + anion: tfa"
6,"cation: azp-2o1,1 + anion: tfa"
7,"cation: azp-2o1,2o1 + anion: ntf2"
8,"cation: azp-4,1 + anion: ntf2"
9,"cation: azp-4,1 + anion: ntf2"
10,"cation: azp-4,1 + anion: ntf2"
11,"cation: azp-6,1 + anion: ntf2"
12,"cation: azp-6,1 + anion: ntf2"
13,"cation: azp-[2o]21,1 + anion: ntf2"
14,"cation: azp-[2o]21,1 + anion: ntf2"
15,"cation: azp-[2o]21,1 + anion: otf"
16,"cation: azp-[2o]21,1 + anion: tfa"
17,"cation: azp-[2o]21,[2o]21 + anion: ntf2"
18,"cation: bim-4,2 + anion: h2po4"
19,"cation: bthz-s2[2] + anion: po2-o2,o2"
20,"cation: cap-1,o2 + anion: ntf2"
21,"cation: cap-1,o2 + anion: otf"
22,"cation: cguad-(2,1),1,1 + anion: ntf2"
23,"cation: cguad-(2,2),1,1 + anion: ntf2"
24,"cation: cguad-(3,1),1,1 + anion: ntf2"
25,"cation: cprop-(n-10,10),(n-10,10),(n-10,10) + anion: dca"
26,"cation: cprop-(n-10,10),(n-10,10),(n-10,10) + anion: ntf2"
27,"cation: cprop-(n-2,1),(n-1,1),(n-1,1) + anion: ntf2"
28,"cation: cprop-(n-2,1),(n-2,1),(n-2,1) + anion: ntf2"
29,"cation: cprop-(n-2,2),(n-1,1),(n-1,1) + anion: ntf2"
30,"cation: cprop-(n-2,2),(n-2,2),(n-1,1) + anion: dca"
31,"cation: cprop-(n-2,2),(n-2,2),(n-1,1) + anion: ntf2"
32,"cation: cprop-(n-2,2),(n-2,2),(n-2,2) + anion: dca"
33,"cation: cprop-(n-2,2),(n-2,2),(n-2,2) + anion: ntf2"
34,"cation: cprop-(n-3,1),(n-1,1),(n-1,1) + anion: dca"
35,"cation: cprop-(n-3,1),(n-1,1),(n-1,1) + anion: ntf2"
36,"cation: cprop-(n-3,3),(n-1,1),(n-1,1) + anion: ntf2"
37,"cation: cprop-(n-3,3),(n-3,3),(n-3,3) + anion: dca"
38,"cation: cprop-(n-3,3),(n-3,3),(n-3,3) + anion: ntf2"
39,"cation: cprop-(n-4,1),(n-1,1),(n-1,1) + anion: dca"
40,"cation: cprop-(n-4,1),(n-1,1),(n-1,1) + anion: ntf2"
41,"cation: cprop-(n-4,1),(n-2,2),(n-2,2) + anion: dca"
42,"cation: cprop-(n-4,1),(n-2,2),(n-2,2) + anion: ntf2"
43,"cation: cprop-(n-4,1),(n-4,1),(n-4,1) + anion: dca"
44,"cation: cprop-(n-4,1),(n-4,1),(n-4,1) + anion: ntf2"
45,"cation: cprop-(n-4,4),(n-1,1),(n-1,1) + anion: ntf2"
46,"cation: cprop-(n-4,4),(n-2,2),(n-2,2) + anion: dca"
47,"cation: cprop-(n-4,4),(n-2,2),(n-2,2) + anion: ntf2"
48,"cation: cprop-(n-4,4),(n-4,4),(n-4,4) + anion: dca"
49,"cation: cprop-(n-4,4),(n-4,4),(n-4,4) + anion: ntf2"
50,"cation: cprop-(n-5,5),(n-5,5),(n-5,5) + anion: dca"
51,"cation: cprop-(n-5,5),(n-5,5),(n-5,5) + anion: ntf2"
52,"cation: cprop-(n-6,1),(n-1,1),(n-1,1) + anion: ntf2"
53,"cation: cprop-(n-6,1),(n-2,2),(n-2,2) + anion: dca"
54,"cation: cprop-(n-6,1),(n-2,2),(n-2,2) + anion: ntf2"
55,"cation: cprop-(n-6,6),(n-1,1),(n-1,1) + anion: ntf2"
56,"cation: cprop-(n-6,6),(n-2,2),(n-2,2) + anion: dca"
57,"cation: cprop-(n-6,6),(n-2,2),(n-2,2) + anion: ntf2"
58,"cation: cprop-(n-6,6),(n-6,6),(n-6,6) + anion: dca"
59,"cation: cprop-(n-6,6),(n-6,6),(n-6,6) + anion: ntf2"
60,cation: dabco-6 + anion: ntf2
61,cation: dbu-10 + anion: dca
62,cation: dbu-10 + anion: scn
63,cation: dbu-14 + anion: dca
64,cation: dbu-2 + anion: dca
65,cation: dbu-4 + anion: dca
66,cation: dbu-4 + anion: imidazolide
67,cation: dbu-6 + anion: dca
68,cation: dbu-6 + anion: scn
69,cation: dbu-8 + anion: dca
70,cation: dbu-8 + anion: scn
71,cation: dbu + anion: ac
72,cation: dbu + anion: imidazolide
73,cation: dbu + anion: otf
74,cation: dbu + anion: so3-1
75,cation: dbu + anion: tfa
76,cation: epslac + anion: 4ac
77,cation: epslac + anion: ac
78,cation: epslac + anion: bf4
79,cation: epslac + anion: bf4
80,cation: epslac + anion: for
81,cation: epslac + anion: tfa
82,cation: epslac + anion: tfa
83,"cation: guad-(1,1),(1,1),(1,1) + anion: la"
84,"cation: guad-(1,1),(1,1),2 + anion: ntf2"
85,"cation: guad-(1,1),(1,1),2 + anion: so4-2"
86,"cation: guad-(1,1),(1,1) + anion: imidazolide"
87,"cation: guad-(1,1),(1,1) + anion: imidazolide"
88,"cation: guad-(1,1),(1,1) + anion: phen"
89,"cation: guad-(1,1),(1,1) + anion: tfe"
90,"cation: guad-(2,1),(1,1),(1,1) + anion: ntf2"
91,"cation: guad-(2,2),(1,1),(1,1) + anion: ntf2"
92,"cation: guad-(2,2),(1,1),(1,1) + anion: so4-2"
93,"cation: guad-(2o1,2o1),(1,1),(1,1) + anion: ntf2"
94,"cation: guad-(2o2,2o1),(1,1),(1,1) + anion: ntf2"
95,"cation: guad-(3,1),(1,1),(1,1) + anion: ntf2"
96,"cation: guad-(3,2),(1,1),(1,1) + anion: ntf2"
97,"cation: guad-(3,3),(1,1),(1,1) + anion: ntf2"
98,"cation: guad-(4,1),(1,1),(1,1) + anion: ntf2"
99,"cation: guad-(4,2),(1,1),(1,1) + anion: ntf2"
100,"cation: guad-(4,3),(1,1),(1,1) + anion: ntf2"
101,"cation: guad-(4,4),(1,1),(1,1) + anion: ntf2"
102,"cation: guad-(6,6),(1,1),(1,1) + anion: ccn3"
103,"cation: guad-(6,6),(6,6),(1,1) + anion: dca"
104,"cation: guad-(6,6),(6,6),(1,1) + anion: ntf2"
105,"cation: guad-(6,6),(6,6),(1,1) + anion: ntf2"
106,"cation: guad-(6,6),(6,6),(1,1) + anion: otf"
107,"cation: guad-(6,6),(6,6),(1,1) + anion: sac"
108,"cation: guad-(6,6),(6,6),(1,1) + anion: so3-ph1"
109,"cation: guad-(6,6),(6,6),(1,1) + anion: tfa"
110,"cation: im-1(1[f]),1 + anion: ntf2"
111,"cation: im-1(chbr,ch2br),(chbr,ch2br) + anion: ntf2"
112,"cation: im-1(chbr,ch2br),1(chbr,ch2br) + anion: ntf2"
113,"cation: im-1(chbr,ch2br),1,br[4],br[5] + anion: ntf2"
114,"cation: im-1(chbr,ch2br),1 + anion: ntf2"
115,"cation: im-1,1,1o2 + anion: ntf2"
116,"cation: im-1,1,1o2 + anion: ntf2"
117,"cation: im-1,1,1o3 + anion: ntf2"
118,"cation: im-1,1,1o3 + anion: ntf2"
119,"cation: im-1,1[2] + anion: ntf2"
120,"cation: im-1,1[2] + anion: ntf2"
121,"cation: im-1,1 + anion: bf3-1[f]"
122,"cation: im-1,1 + anion: bf3-2[f]"
123,"cation: im-1,1 + anion: bf3-3[f]"
124,"cation: im-1,1 + anion: dca"
125,"cation: im-1,1 + anion: ntf2"
126,"cation: im-1,1 + anion: ntf2"
127,"cation: im-1,1 + anion: ntf2"
128,"cation: im-1,1 + anion: ntf2"
