"ID","Label"
"1","azp-2o1,1 + ntf2"
"2","azp-2o1,1 + otf"
"3","azp-2o1,1 + tfa"
"4","azp-2o1,2o1 + ntf2"
"5","azp-4,1 + ntf2"
"6","azp-6,1 + ntf2"
"7","azp-[2o]21,1 + ntf2"
"8","azp-[2o]21,1 + otf"
"9","azp-[2o]21,1 + tfa"
"10","azp-[2o]21,[2o]21 + ntf2"
"11","bim-4,2 + h2po4"
"12","bthz-s2[2] + po2-o2,o2"
"13","cap-1,o2 + ntf2"
"14","cap-1,o2 + otf"
"15","cguad-(2,1),1,1 + ntf2"
"16","cguad-(2,2),1,1 + ntf2"
"17","cguad-(3,1),1,1 + ntf2"
"18","cprop-(n-10,10),(n-10,10),(n-10,10) + dca"
"19","cprop-(n-10,10),(n-10,10),(n-10,10) + ntf2"
"20","cprop-(n-2,1),(n-1,1),(n-1,1) + ntf2"
"21","cprop-(n-2,1),(n-2,1),(n-2,1) + ntf2"
"22","cprop-(n-2,2),(n-1,1),(n-1,1) + ntf2"
"23","cprop-(n-2,2),(n-2,2),(n-1,1) + dca"
"24","cprop-(n-2,2),(n-2,2),(n-1,1) + ntf2"
"25","cprop-(n-2,2),(n-2,2),(n-2,2) + dca"
"26","cprop-(n-2,2),(n-2,2),(n-2,2) + ntf2"
"27","cprop-(n-3,1),(n-1,1),(n-1,1) + dca"
"28","cprop-(n-3,1),(n-1,1),(n-1,1) + ntf2"
"29","cprop-(n-3,3),(n-1,1),(n-1,1) + ntf2"
"30","cprop-(n-3,3),(n-3,3),(n-3,3) + dca"
"31","cprop-(n-3,3),(n-3,3),(n-3,3) + ntf2"
"32","cprop-(n-4,1),(n-1,1),(n-1,1) + dca"
"33","cprop-(n-4,1),(n-1,1),(n-1,1) + ntf2"
"34","cprop-(n-4,1),(n-2,2),(n-2,2) + dca"
"35","cprop-(n-4,1),(n-2,2),(n-2,2) + ntf2"
"36","cprop-(n-4,1),(n-4,1),(n-4,1) + dca"
"37","cprop-(n-4,1),(n-4,1),(n-4,1) + ntf2"
"38","cprop-(n-4,4),(n-1,1),(n-1,1) + ntf2"
"39","cprop-(n-4,4),(n-2,2),(n-2,2) + dca"
"40","cprop-(n-4,4),(n-2,2),(n-2,2) + ntf2"
"41","cprop-(n-4,4),(n-4,4),(n-4,4) + dca"
"42","cprop-(n-4,4),(n-4,4),(n-4,4) + ntf2"
"43","cprop-(n-5,5),(n-5,5),(n-5,5) + dca"
