IL ID,Label,Viscosity Group,Temp
1,"azp-2o1,1 + ntf2",L,298.15
2,"azp-2o1,1 + otf",H,298.1
3,"azp-2o1,1 + tfa",H,298.1
4,"azp-2o1,2o1 + ntf2",H,292.05
5,"azp-4,1 + ntf2",H,298.0
6,"azp-6,1 + ntf2",H,298.0
7,"azp-[2o]21,1 + ntf2",L,298.1
8,"azp-[2o]21,1 + otf",H,298.1
9,"azp-[2o]21,1 + tfa",H,298.1
10,"azp-[2o]21,[2o]21 + ntf2",H,289.55
11,"bim-4,2 + h2po4",H,313.15
12,"bthz-s2[2] + po2-o2,o2",L,298.15
13,"cap-1,o2 + ntf2",L,323.2
14,"cap-1,o2 + otf",L,323.2
15,"cguad-(2,1),1,1 + ntf2",L,298.15
16,"cguad-(2,2),1,1 + ntf2",L,298.15
17,"cguad-(3,1),1,1 + ntf2",L,298.15
18,"cprop-(n-10,10),(n-10,10),(n-10,10) + dca",H,293.0
19,"cprop-(n-10,10),(n-10,10),(n-10,10) + ntf2",H,293.15
20,"cprop-(n-2,1),(n-1,1),(n-1,1) + ntf2",L,343.15
21,"cprop-(n-2,1),(n-2,1),(n-2,1) + ntf2",L,293.15
22,"cprop-(n-2,2),(n-1,1),(n-1,1) + ntf2",L,323.15
23,"cprop-(n-2,2),(n-2,2),(n-1,1) + dca",L,293.0
24,"cprop-(n-2,2),(n-2,2),(n-1,1) + ntf2",L,293.15
25,"cprop-(n-2,2),(n-2,2),(n-2,2) + dca",L,293.0
26,"cprop-(n-2,2),(n-2,2),(n-2,2) + ntf2",L,293.15
27,"cprop-(n-3,1),(n-1,1),(n-1,1) + dca",L,293.0
28,"cprop-(n-3,1),(n-1,1),(n-1,1) + ntf2",L,293.15
29,"cprop-(n-3,3),(n-1,1),(n-1,1) + ntf2",L,323.15
30,"cprop-(n-3,3),(n-3,3),(n-3,3) + dca",L,333.0
31,"cprop-(n-3,3),(n-3,3),(n-3,3) + ntf2",H,293.15
32,"cprop-(n-4,1),(n-1,1),(n-1,1) + dca",L,293.0
33,"cprop-(n-4,1),(n-1,1),(n-1,1) + ntf2",L,293.15
34,"cprop-(n-4,1),(n-2,2),(n-2,2) + dca",L,293.0
35,"cprop-(n-4,1),(n-2,2),(n-2,2) + ntf2",L,293.15
36,"cprop-(n-4,1),(n-4,1),(n-4,1) + dca",L,293.0
37,"cprop-(n-4,1),(n-4,1),(n-4,1) + ntf2",L,293.15
38,"cprop-(n-4,4),(n-1,1),(n-1,1) + ntf2",L,293.15
39,"cprop-(n-4,4),(n-2,2),(n-2,2) + dca",L,293.0
40,"cprop-(n-4,4),(n-2,2),(n-2,2) + ntf2",L,293.15
41,"cprop-(n-4,4),(n-4,4),(n-4,4) + dca",H,293.0
42,"cprop-(n-4,4),(n-4,4),(n-4,4) + ntf2",H,293.15
